编号,名称,院系
267,财务管理（公司理财方向）,工商管理学院
268,人力资源管理（数字化人力资源管理方向）,工商管理学院
269,旅游管理,旅游管理学院
270,酒店管理,旅游管理学院
271,会展经济与管理,旅游管理学院
272,烹饪与营养教育,旅游管理学院
273,法学,法学院
274,社会学,社会学学院
275,社会工作,社会学学院
276,政治学与行政学,政治学与行政学学院
277,国际政治,政治学与行政学学院
278,外交学,政治学与行政学学院
279,教育学,教育学院
280,学前教育,教育学院
281,小学教育,教育学院
282,特殊教育,教育学院
283,教育技术学,教育学院
284,体育教育,体育学院
285,社会体育指导与管理,体育学院
286,运动训练,体育学院
287,武术与民族传统体育,体育学院
288,运动人体科学,体育学院
289,新闻学,新闻学院
290,广播电视学,新闻学院
291,广告学,新闻学院
292,传播学,新闻学院
293,编辑出版学,新闻学院
294,网络与新媒体,新闻学院
295,数字出版,新闻学院
296,英语,外国语学院
297,俄语,外国语学院
298,法语,外国语学院
299,德语,外国语学院
300,日语,外国语学院
301,西班牙语,外国语学院
302,阿拉伯语,外国语学院
303,朝鲜语,外国语学院
304,葡萄牙语,外国语学院
305,意大利语,外国语学院
306,翻译,外国语学院
307,商务英语,外国语学院
308,历史学,历史学院
309,世界史,历史学院
310,考古学,历史学院
311,文物与博物馆学,历史学院
312,数学与应用数学,数学科学学院
313,信息与计算科学,数学科学学院
314,统计学,数学科学学院
315,数据科学与大数据技术,数学科学学院
316,物理学,物理科学学院
317,应用物理学,物理科学学院
318,核物理,物理科学学院
319,声学,物理科学学院
320,光电信息科学与工程,物理科学学院
321,化学,化学化工学院
322,应用化学,化学化工学院
323,材料化学,化学化工学院
324,化学生物学,化学化工学院
325,地球物理学,地球科学学院
326,地质学,地球科学学院
327,地球信息科学与技术,地球科学学院
328,大气科学,大气科学学院
329,应用气象学,大气科学学院
330,海洋科学（物理海洋方向）,海洋科学学院
331,海洋科学（海洋化学方向）,海洋科学学院
332,海洋科学（海洋生物方向）,海洋科学学院
333,海洋技术（海洋观测技术方向）,海洋科学学院
334,海洋技术（海洋信息技术方向）,海洋科学学院
335,心理学,心理学院
336,应用心理学,心理学院
337,美术学,美术学院
338,绘画,美术学院
339,雕塑,美术学院
340,摄影,美术学院
341,书法学,美术学院
342,中国画,美术学院
343,设计学类（含视觉传达设计、环境设计、产品设计）,设计学院
344,音乐学,音乐学院
345,作曲与作曲技术理论,音乐学院
346,音乐表演（声乐、器乐方向）,音乐学院
347,舞蹈学,舞蹈学院
348,舞蹈表演,舞蹈学院
349,戏剧影视文学,戏剧影视学院
350,广播电视编导,戏剧影视学院
351,戏剧影视导演,戏剧影视学院
352,戏剧影视美术设计,戏剧影视学院
353,录音艺术,戏剧影视学院
354,动画,动画学院
355,数字媒体艺术,动画学院
356,影视摄影与制作,动画学院
357,戏剧学,戏剧学院
358,表演,戏剧学院
359,戏剧影视表演,戏剧学院
360,播音与主持艺术,传媒学院
361,广播电视工程,传媒学院
362,网络与新媒体（新媒体网络经营方向）,传媒学院
363,电子商务及法律,法学院/管理学院
364,国际经济与贸易（全英文授课班）,经济学院
365,金融学（量化投资方向）,经济学院
366,工商管理（创新创业方向）,工商管理学院
367,会计学（国际会计方向）,工商管理学院
368,财务管理（金融科技方向）,工商管理学院
369,法学（涉外法律方向）,法学院
370,英语（翻译方向）,外国语学院
371,日语（国际贸易方向）,外国语学院
372,德语（中德合作办学项目）,外国语学院
373,机械设计制造及其自动化（智能制造方向）,机械工程学院
374,电气工程及其自动化（智能电网方向）,机械工程学院
375,软件工程,计算机学院
376,编译原理,计算机学院
377,计算机系统结构,计算机学院
378,面向对象程序设计,计算机学院
379,Python编程,计算机学院
380,计算机图形学,计算机学院
381,人工智能,计算机学院
382,机器学习,计算机学院
383,深度学习,计算机学院
384,自然语言处理,计算机学院
385,计算机视觉,计算机学院
386,网络安全,计算机学院
387,数据库系统设计与优化,计算机学院
388,分布式系统,计算机学院
389,云计算与大数据技术,计算机学院
390,物联网技术,计算机学院
391,软件测试技术,计算机学院
392,人机交互,计算机学院
393,算法设计与分析,计算机学院
394,嵌入式系统设计,计算机学院
395,计算机网络安全,计算机学院
396,高性能计算,计算机学院
397,数据分析与挖掘,计算机学院
398,计算机体系结构,计算机学院
399,操作系统,计算机学院
400,数据结构,计算机学院
